ML,2.52, MR,3.24, Pitch,3.75, Distance,0.00962, Angle,-0.57
ML,1.52, MR,2.52, Pitch,3.53, Distance,0.01111, Angle,-0.4
ML,0.58, MR,1.22, Pitch,3.33, Distance,0.01191, Angle,-0.45
ML,-1.41, MR,0.25, Pitch,3.24, Distance,0.01214, Angle,-0.11
ML,-0.07, MR,-0.29, Pitch,3.47, Distance,0.01134, Angle,-0.28
ML,-0.67, MR,0.58, Pitch,3.46, Distance,0.01168, Angle,-0.34
ML,0.18, MR,0.79, Pitch,3.47, Distance,0.01168, Angle,-0.34
ML,-0.33, MR,0.22, Pitch,3.44, Distance,0.01157, Angle,-0.4
ML,0.55, MR,0.52, Pitch,3.55, Distance,0.01122, Angle,-0.57
ML,1.26, MR,1.84, Pitch,3.61, Distance,0.01122, Angle,-0.57
ML,2.69, MR,3.15, Pitch,3.73, Distance,0.01122, Angle,-0.57
ML,1.15, MR,1.77, Pitch,3.71, Distance,0.01294, Angle,-0.28
ML,1.98, MR,3.33, Pitch,3.42, Distance,0.01443, Angle,-0.23
ML,0.27, MR,0.71, Pitch,3.17, Distance,0.01443, Angle,-0.57
ML,-1.66, MR,-1.86, Pitch,3.16, Distance,0.01374, Angle,-0.68
ML,-2.59, MR,-2.4, Pitch,3.26, Distance,0.01317, Angle,-0.62
ML,-2.12, MR,-1.66, Pitch,3.44, Distance,0.01226, Angle,-0.62
ML,0.1, MR,-0.08, Pitch,3.6, Distance,0.01203, Angle,-0.97
ML,0.57, MR,0.55, Pitch,3.55, Distance,0.01191, Angle,-0.91
ML,-0.42, MR,-0.35, Pitch,3.43, Distance,0.01283, Angle,-0.57
ML,-0.36, MR,0.55, Pitch,3.43, Distance,0.01237, Angle,-0.68
ML,0.54, MR,0.53, Pitch,3.5, Distance,0.01248, Angle,-0.63
ML,-0.35, MR,0.88, Pitch,3.39, Distance,0.01294, Angle,-0.4
ML,0.54, MR,0.39, Pitch,3.5, Distance,0.01237, Angle,-0.57
ML,0.33, MR,0.8, Pitch,3.52, Distance,0.01294, Angle,-0.28
ML,1.02, MR,1.7, Pitch,3.54, Distance,0.01237, Angle,-0.68
ML,0.1, MR,0.04, Pitch,3.5, Distance,0.01329, Angle,-0.34
ML,-0.52, MR,0.94, Pitch,3.42, Distance,0.01271, Angle,-0.4
ML,1.58, MR,1.05, Pitch,3.53, Distance,0.0126, Angle,-0.68
ML,-0.81, MR,0.12, Pitch,3.34, Distance,0.01271, Angle,-0.28
ML,-0.5, MR,-0.71, Pitch,3.41, Distance,0.01248, Angle,-0.51
ML,-1.21, MR,-0.97, Pitch,3.43, Distance,0.01294, Angle,-0.51
ML,0.09, MR,0.31, Pitch,3.54, Distance,0.01191, Angle,-0.57
ML,0.46, MR,0.5, Pitch,3.5, Distance,0.01237, Angle,-0.57
ML,0.3, MR,0.79, Pitch,3.48, Distance,0.0118, Angle,-0.63
ML,-0.15, MR,-0.25, Pitch,3.4, Distance,0.01203, Angle,-0.63
ML,-1.38, MR,-1.09, Pitch,3.36, Distance,0.01203, Angle,-0.51
ML,-2.36, MR,-2.02, Pitch,3.28, Distance,0.01191, Angle,-0.57
ML,0.13, MR,-1.03, Pitch,3.47, Distance,0.01065, Angle,-1.19
ML,-0.85, MR,-1.63, Pitch,3.46, Distance,0.01077, Angle,-1.14
ML,0.98, MR,0.01, Pitch,3.55, Distance,0.01008, Angle,-1.48
ML,0.3, MR,-0.53, Pitch,3.54, Distance,0.01031, Angle,-1.48
ML,0.8, MR,-0.11, Pitch,3.59, Distance,0.01042, Angle,-1.42
ML,2.53, MR,1.36, Pitch,3.7, Distance,0.01065, Angle,-1.53
ML,0.04, MR,0.6, Pitch,3.51, Distance,0.01237, Angle,-0.68
ML,1.24, MR,1.96, Pitch,3.53, Distance,0.01271, Angle,-0.51
ML,0.87, MR,1.81, Pitch,3.46, Distance,0.01294, Angle,-0.4
ML,-0.5, MR,0.09, Pitch,3.41, Distance,0.01374, Angle,0
ML,-0.26, MR,0.62, Pitch,3.4, Distance,0.01397, Angle,0.11
